City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,farasan,16.7022,42.1183,25.0,68,58,6.27,SA,1706983041
320,coxim,-18.5067,-54.76,36.61,27,100,3.3,BR,1706983333
321,yemetsk,63.4721,41.7941,-15.76,99,83,2.18,RU,1706982995
322,tafuna,-14.3358,-170.72,28.0,84,100,11.46,AS,1706983333
323,floro,61.5996,5.0328,3.98,65,40,15.43,NO,1706983333
324,sarina,-21.4333,149.2167,23.12,78,6,1.85,AU,1706983333
325,kone,-21.0595,164.8658,25.84,91,98,2.53,NC,1706983334
326,tutong,4.8,114.65,26.05,92,99,2.27,BN,1706983334
327,lagoa,39.05,-27.9833,15.71,88,0,7.72,PT,1706983334
328,batu pahat,1.8548,102.9325,23.94,90,76,2.04,MY,1706983335
329,enewetak,11.3474,162.3373,26.48,84,61,9.92,MH,1706983335
330,pauini,-7.7136,-66.9764,26.52,85,99,0.11,BR,1706983335
331,kill devil hills,36.0307,-75.676,8.0,74,100,5.66,US,1706983210
332,nova xavantina,-14.6667,-52.35,21.81,96,100,1.31,BR,1706983009
333,port moresby,-9.4431,147.1797,24.68,94,20,1.54,PG,1706983325
334,alegrete,-29.7831,-55.7919,34.75,41,0,4.82,BR,1706983336
335,la'ie,21.6477,-157.9253,22.98,56,4,5.36,US,1706983336
336,viedma,-40.8135,-62.9967,21.13,31,2,10.48,AR,1706983005
337,shenkursk,62.1091,42.896,-15.9,100,85,1.78,RU,1706983336
338,codrington,-38.2667,141.9667,14.22,91,46,2.32,AU,1706983337
339,pacocha,-17.5833,-71.3333,25.08,65,0,3.6,PE,1706983337
340,abu jibeha,11.4562,31.2285,24.09,14,38,3.95,SD,1706983337
341,davydovka,51.1578,39.4292,-0.49,96,100,7.15,RU,1706983338
342,ise,34.4833,136.7,5.62,89,100,3.52,JP,1706983338
343,midvagur,62.0511,-7.1939,2.46,80,75,3.6,FO,1706982868
344,nadi,-17.8,177.4167,25.0,88,40,2.57,FJ,1706983162
345,castillos,-34.1667,-53.8333,31.71,37,70,5.23,UY,1706982983
346,leninskoye,41.7589,69.3864,-0.26,83,100,3.48,KZ,1706983340
347,omutinskiy,56.4745,67.6709,-13.78,96,100,4.33,RU,1706982883
348,sorong,-0.8833,131.25,27.09,85,54,5.98,ID,1706983340
349,gaspe,48.8334,-64.4819,-6.88,58,20,4.12,CA,1706983208
350,camocim,-2.9022,-40.8411,29.3,71,79,6.86,BR,1706983341
351,batticaloa,7.7102,81.6924,25.95,80,69,2.5,LK,1706983341
352,pao de acucar,-9.7483,-37.4367,37.9,24,69,5.8,BR,1706983342
353,al ghayzah,16.2079,52.176,25.0,74,0,2.66,YE,1706983342
354,puerto baquerizo moreno,-0.9,-89.6,28.55,84,40,7.72,EC,1706983342
355,nolinsk,57.5596,49.9363,-12.81,99,99,1.86,RU,1706983343
356,ambalangoda,6.2355,80.0538,25.9,83,90,0.3,LK,1706983343
357,severo-yeniseyskiy,60.3725,93.0408,-15.24,97,100,0.89,RU,1706983344
358,nar'yan-mar,67.6713,53.087,-12.72,86,24,6.26,RU,1706983344
359,sabha,27.0377,14.4283,11.53,31,0,0.41,LY,1706983344
360,araguaina,-7.1911,-48.2072,28.09,76,85,2.9,BR,1706983202
361,whangarei,-35.7317,174.3239,12.31,79,4,1.24,NZ,1706983345
362,kuhmo,64.1333,29.5167,-6.2,91,94,2.93,FI,1706983345
